benchmark,script,system,nodes,persistence_mode,time
NLP,uppercase_by_type;6_1_2,bash,4,,248.97
NLP,uppercase_by_type;6_1_2,dish,4,,18.091
NLP,uppercase_by_type;6_1_2,fractal,4,,18.459
NLP,verses_2om_3om_2instances;6_7,bash,4,,701.038
NLP,verses_2om_3om_2instances;6_7,dish,4,,167.031
NLP,verses_2om_3om_2instances;6_7,fractal,4,,167.483
NLP,vowel_sequencies_gr_1K;8.2_1,bash,4,,245.624
NLP,vowel_sequencies_gr_1K;8.2_1,dish,4,,20.058
NLP,vowel_sequencies_gr_1K;8.2_1,fractal,4,,20.657
NLP,words_no_vowels;6_3,bash,4,,240.474
NLP,words_no_vowels;6_3,dish,4,,18.714
NLP,words_no_vowels;6_3,fractal,4,,19.384
NLP,1syllable_words;6_4,bash,4,,243.585
NLP,1syllable_words;6_4,dish,4,,19.426
NLP,1syllable_words;6_4,fractal,4,,19.841
NLP,2syllable_words;6_5,bash,4,,241.721
NLP,2syllable_words;6_5,dish,4,,18.643
NLP,2syllable_words;6_5,fractal,4,,19.43
NLP,4letter_words;6_2,bash,4,,487.986
NLP,4letter_words;6_2,dish,4,,27.014
NLP,4letter_words;6_2,fractal,4,,28.573
NLP,bigrams_appear_twice;8.2_2,bash,4,,262.246
NLP,bigrams_appear_twice;8.2_2,dish,4,,13.981
NLP,bigrams_appear_twice;8.2_2,fractal,4,,14.566
NLP,bigrams;4_3,bash,4,,261.108
NLP,bigrams;4_3,dish,4,,20.57
NLP,bigrams;4_3,fractal,4,,20.697
NLP,compare_exodus_genesis;8.3_3,bash,4,,487.028
NLP,compare_exodus_genesis;8.3_3,dish,4,,72.67
NLP,compare_exodus_genesis;8.3_3,fractal,4,,73.272
NLP,count_consonant_seq;7_2,bash,4,,245.805
NLP,count_consonant_seq;7_2,dish,4,,18.447
NLP,count_consonant_seq;7_2,fractal,4,,18.635
NLP,count_morphs;7_1,bash,4,,237.936
NLP,count_morphs;7_1,dish,4,,16.986
NLP,count_morphs;7_1,fractal,4,,17.608
NLP,count_trigrams;4_3b,bash,4,,261.873
NLP,count_trigrams;4_3b,dish,4,,14.307
NLP,count_trigrams;4_3b,fractal,4,,14.796
NLP,count_vowel_seq;2_2,bash,4,,236.883
NLP,count_vowel_seq;2_2,dish,4,,16.893
NLP,count_vowel_seq;2_2,fractal,4,,17.331
NLP,count_words;1_1,bash,4,,249.483
NLP,count_words;1_1,dish,4,,18.53
NLP,count_words;1_1,fractal,4,,19.039
NLP,find_anagrams;8.3_2,bash,4,,253.358
NLP,find_anagrams;8.3_2,dish,4,,13.362
NLP,find_anagrams;8.3_2,fractal,4,,13.782
NLP,merge_upper;2_1,bash,4,,247.876
NLP,merge_upper;2_1,dish,4,,19.4
NLP,merge_upper;2_1,fractal,4,,20.259
NLP,sort;3_1,bash,4,,250.84
