,,,,time - 4 node,,,,time - 30 node,,,,speedup - 4 node,,,speedup - 4 30 node,,
size,run,benchmark,script,bash|4|t,ahs|4|t,dish|4|t,fractal|4|t,bash|30|t,ahs|30|t,dish|30|t,fractal|30|t,ahs|4|s,dish|4|s,fractal|4|s,ahs|30|s,dish|30|s,fractal|30|s
10 G,2,Unix50,21.sh,2617.508,2354.263,956.834,959.904,3015.514,4745.14,570.984,559.66,1.111816309,2.73559259,2.726843518,0.6354952646,5.281258319,5.388117786
10 G,2,Unix50,23.sh,795.355,278.087,146.236,143.069,721.795,109.314,41.558,36.321,2.860094143,5.438845428,5.559240646,6.602951132,17.36837673,19.8726632
10 G,2,Unix50,24.sh,96.991,129.129,26.453,21.641,42.32,77.893,24.294,10.918,0.7511171,3.666540657,4.481816922,0.5433094116,1.741993908,3.876167796
10 G,2,Unix50,25.sh,98.702,135.503,41.587,33.597,44.36,79.186,24.556,14.287,0.7284119171,2.373385914,2.937821829,0.5602000354,1.806483141,3.104920557
10 G,2,Unix50,26.sh,102.297,135.688,141.432,139.044,88.998,79.133,154.991,154.23,0.7539133895,0.7232945868,0.7357167515,1.124663541,0.5742139866,0.5770472671
10 G,2,Unix50,28.sh,560.976,218.39,319.838,312.975,607.158,89.006,209.822,203.437,2.568689043,1.753937931,1.792398754,6.821540121,2.893681311,2.984501344
10 G,2,Unix50,29.sh,96.239,142.605,148.249,145.129,61.689,77.835,242.837,243.314,0.6748641352,0.6491713266,0.6631272868,0.7925611871,0.2540345993,0.2535365824
10 G,2,Unix50,30.sh,711.363,211.132,256.017,246.136,835.388,89.309,199.141,186.213,3.369280829,2.778577204,2.890121721,9.353906101,4.194957342,4.486195915
10 G,2,Unix50,31.sh,710.149,224.347,315.406,299.21,858.305,91.091,200.78,192.97,3.165404485,2.251539286,2.373413322,9.422500576,4.274853073,4.447867544
10 G,2,Unix50,32.sh,95.99,125.463,98.378,98.715,35.321,75.189,161.385,159.946,0.765086121,0.9757262803,0.9723952793,0.4697628642,0.2188617282,0.2208307804
10 G,2,Unix50,33.sh,95.879,120.282,98.989,99.415,36.672,72.803,160.573,162.33,0.7971184383,0.9685823677,0.9644319268,0.5037155062,0.2283821066,0.225910183
10 G,2,Unix50,34.sh,2.353,119.797,6.917,6.533,2.907,76.174,24.049,8.244,0.01964156031,0.340176377,0.3601714373,0.03816262767,0.120878207,0.3526200873
10 G,2,Unix50,35.sh,97.045,116.306,15.382,12.736,30.977,73.014,24.692,8.53,0.8343937544,6.30899753,7.619739322,0.4242611006,1.254535882,3.631535756
